Phrase;UID;TONAL SEQUENCE
Ke beka dihwapa;016CA310;H LH HLL
Ha ke beke dihwapa;A2F0B858;L H LL HLL
Ba kgola ditholwana;91A5113E;H HL HLHL
Ha ba kgole ditholwana;ECAFB4AC;H H HL HLHL
Di leka batho;9E483006;H HL HL
Ha di leke batho;EAC65594;L H HL HL
Ke bua ditaba;E8382E64;L HL HLL
Ha ke bue ditaba;18D88583;H L HL HLL
Ba kopa dipabi;73FEE7D0;H HL HLH
Ha ba kope dipabi;F667BF42;H H LL HLH
Ho hlola dintwa;F6831265;L LH HL
Ho se hlole dintwa;75D3EF47;L L HL HL
Ho roka mose;6AD2FDB4;L HL HL 
Ho se roke mose;404B2C64;L L HL HL
Ho beha thebe;BE95B729;L HL LL
Ho se behe thebe;DB5C61A4;LL HL LL
Ke beka dihwapa;DAFAAA81;L LL HLL
Ha ke beke dihwapa;FF0EE84F;L H LH HLL
Ba kgola meputso;89390348;H HL LHL
Ha ba kgole meputso;6021DFAC;H H HL LHL
Di leka letswai;0D77051C;H HL LL 
Ha di leke letswai;EBF6D9D8;H L HL LL
Ke bua kgomo;6A564734;L HL LH
Ha ke bue kgomo;B8DF04C3;H L HL LH
Ba kopa letheka;51AA932C;H HL LLH
Ha ba kope letheka;3F50304D;H H LH LLH
Ho hlola bobe;2B826BC6;L LH LH
Ha ba hlole bobe;AE66B8EC;H H LH LH
Ho roka morena;9494A5B8;L LH LLH
Ho se rokwe morena;53FD3670;L L LH LLH
Ho beha diphahlo;E4850985;L LH HHL
Ho se behe diphahlo;30451A43;L L LH HHL
Ke beka ngwetsi;49132314;L LH LH
Ha ke beke ngwetsi;A36C91BC;H L LH LH
Ba kgola ditholwana;7A6CAD1C;H LH HLHL
Ha ba kgole ditholwana;D62D79D0;H H LL HLHL
Di leka batho Ha di leke batho;3329DD55;H HL HL L H HL HL
Ke bua ditaba Ha ke bue ditaba;8AA9F16C;L HL HLL H L HL HLL
Ba kopa dipabi Ha ba kope dipabi;03E3F5CB;H HL HLH H H LL HLH
Ho hlola dintwa;FE6D7250;L LH HL
Ho se hlole dintwa;D439765E;L L HL HL
Ho roka mose Ho se roke mose;2E87ED9F;L HL HL L L HL HL
Ho beha thebe Ho se behe thebe;5C747DEF;L HL LL LL HL LL
Ho beka dihwapa Ho se beke dihwapa;F08944DA;H LH HLL L H LL HLL
Ba kgola meputso Ha ba kgole meputso;1215FD65;H HL LHL H H HL LHL
Di leka letswai Ha di leke letswai;95E7F4A5;H HL LL H L HL LL
Ke bua kgomo Ha ke bue kgomo;1768B294;L HL LH H L HL LH
Ba kopa letheka Ha ba kope letheka;F280C9CA;H HL LLH H H LH LLH
Ho hlola bobe;C607FBA8;L LH LH
Ho roka morena Ha se rokwe morena;9D837555;L LH LLH L L LH LLH
Ho beha diphahlo Ho se behe diphahlo;1DBA79B9;L LH HHL L L LH HHL
Ke beka ngwetsi;9D51A048;L LH LH
Ha ke beke ngwetsi;32F17A39;H L LH LH
Ke kgola ditholwana;8B4188F4;L HL HLHL
Ha Ke kgole ditholwana;533B92EC;H L HL HLHL
Di leka batho;AC2D18EC;H HL HL
Ha di leke batho;0651760D;L H HL HL
Ke bua ditaba;C293C859;L HL HLL
Ha ke bue ditaba;E05D7967;H L HL HLL
Ba kopa dipabi;B4A6E307;H L HL HLL
Ha ba kope dipabi;8F9438FE;H HL HLH
Ba hlola dintwa;A9F7EFC8;H LH HL
Ha ba hlole dintwa;495C859F;H L HL HL
Ho roka mose;8DBF7B8F;L HL HL 
Ha ke roke mose;3DE13E23;H L HL HL
Ho beha thebe;7413B8C2;L HL LL
Ha ke behe thebe;012C8DBD;L H HL LL
Ke beka dihwapa;25AA8215;H LH HLL
Ha ke beke dihwapa;928ECA19;L H LL HLL
Ba kgola meputso;8CC65CAA;H HL LHL
Ha ba kgole meputso;30985347;H H HL LHL
Di leka letswai;92E14C52;H HL LL 
Ha di leke letswai;F5DC903B;H L HL LL
Ke bua kgomo;4C185E35;L HL LH
Ha ke bue kgomo;B907D1D5;H L HL LH
Ba kopa letheka;948153BC;H HL LLH
Ha ba kope letheka;232A1FB3;H H LH LLH
Ba hlola bobe;F6809DF0;H LH LH
Ha ba hlole bobe;5F6ED01B;H H LH LH
Ho roka morena;0598615C;L LH LLH
Ha ke rokwe morena;45E0B7CA;L H LH LLH
Ho beha diphahlo;65CAFBC0;L LH HHL
Ha ke behe diphahlo;0D85C211;L H LH HHL
Ke beka ngwetsi Ha ke beke ngwetsi;98AC5248;L LH LH H L LH LH
ba kgola ditholwana Ha ba kgole ditholwana;EE6E785C;H HL LLHL H H HL LLHL
Di leka batho Ha di leke batho;8E23DD7A;H HL HL L H HL HL
Ke bua ditaba Ha ke bue ditaba;BC242ED4;L HL HLL H L HL HLL
Ba kopa dipabi Ha ba kope dipabi;02C0B77D;H HL HLH H H LL HLH
Ho hlola dintwa;DE41C9A9;L LH HL
Ha ke hlole dintwa;399E567E;H L LH HL
Ho roka mose Ha ke roke mose;F5FE6DF8;L HL HL H L HL HL
Ho beha thebe Ha ke behe thebe;50B34213;L HL LL HL HL LL
Ho beka dihwapa Ha ke beke dihwapa;F5159288;H LH HLL H H LH HLL
Ba kgola meputso Ha ba kgole meputso;72245B8A;H HL LHL H H HL LHL
Di leka letswai Ha di leke letswai;123D7F40;H HL LL H L HL LL
Ke bua kgomo Ha ke bue kgomo;E0C133B3;L HL LH H L HL LH
Ba kopa letheka Ha ba kope letheka;7A75DDB6;H HL LLH H H LH LLH
Ba hlola bobe Ha ba hlole bobe;4E53EA3D;H LH LH H H LH LH
Ho roka morena;07743C4A;L LH LLH 
Ha ke rokwe morena;61E8934C;H L LH LLH
Ho beha diphahlo Ha ke behe diphahlo;C4CF39D9;L HL HHL L H LL HHL
Ke beka ngwetsi Ha ke beke ngwetsi;51633593;L LH LH H L LH LH
ba kgola ditholwana Ha ba kgole ditholwana;548B7C2F;H HL LLHL H H HL LLHL
Di leka batho Ha di leke batho;618F38E0;H LH HL H H HL HL
Ke bua ditaba;8799D459;L HL HLL
Ke beka ngwetsi;DEC260AC;L LH LH
Ha ke beke ngwetsi;01F34DBE;H L LH LH
ba kgola ditholwana;7C60F052;H HL HLHL
Ha ba kgole ditholwana;14C074C4;H H HL HLHL
Di leka batho;47627116;H HL HL
Ha di leke batho;A1FA762B;L H HL HL
Ke bua ditaba;67466736;L HL HLL
Ha ke bue ditaba;5CBEDADA;H L HL HLL
Ba kopa dipabi;0956768E;H HL HLH
Ha ba kope dipabi;20A7444B;H H LL HLH
Ho hlola dintwa;ECCE304F;L LH HL
Ha se hlole dintwa;1C05440B;L L HL HL
Ho roka mose;E5679F94;L HL HL 
Ho se roke mose;6914DDE3;L L HL HL
Ho beha thebe Ho se behe thebe;418EFF1B;L HL LL HL HL LL
Ke beka dihwapa Ha ke beke dihwapa;273771D3;H LH HLL L H LL HLL
Ba kgola meputso Ha ba kgole meputso;4498B071;H HL LHL H H HL LHL
Di leka letswai Ha di leke letswai;4245F8B4;H HL LL H L HL LL
Ke bua kgomo Ha ke bue kgomo;554A3FB1;L HL LH H L HL LH
Ba kopa letheka Ha ba kope letheka;A6635990;H HL LLH H H LH LLH
Ho hlola bobe Ha se hlole bobe;A613E588;L LH LH LL LL HL
Ho roka morena ha Ho roke morena;FA2B7688;L LH LLH L L LH LLH
Ho beha diphahlo Ho se behe diphahlo;103B3DCF;L HL HHL L L LL HHL
Ke beka ngwetsi Ha ke beke ngwetsi;C03A0123;L LH LH H L LH LH
ba kgola ditholwana Ha ba kgole ditholwana;830A6479;H HL LLHL H H HL LLHL
Di leka batho Ha di leke batho;C626F54C;H LH HL H H HL HL
Ke bua ditaba Ha ke bue ditaba;85E92546;L HL HLL H L HL HLL
Ba kopa dipabi Ha ba kope dipabi;88E7A77E;H LH LHL H H LL LHL
Ho hlola dintwa Ho se hlole dintwa;DC2871B9;L HL HL L L HL HL
Ho roka mose Ho se roke mose;06DDFF77;L LH HL L L LL HL
Ho beha thebe Ho se behe thebe;D89E1DA0;L LH HL L L LH HL
Ke beka dihwapa Ha ke beke dihwapa;B7D22ED9;L LH HHH H H LH HHH
Ba kgola meputso Ha ba kgole meputso;E629F81C;H  HL LHL H H LH LHL
Di leka letswai ha Di leke letswai;98621C34;H LH LH H H LH LH
Ke bua kgomo Ha ke bue kgomo;3E162F8E;L HH HL H L HL HL
Ba kopa letheka Ha ba kope letheka;130807A5;H HH LLH H H HL LLH
Ho Hlola bobe Hose hlole bobe;A1CF8743;L LH LH LL LL HL
Ho roka morena Ha ho rokwe morena;AE28E171;L LH HLH H L HL HLH
Ho beha diphahlo Ho se behe diphahlo;E99CE9BC;L HL HHL L L LL HHL